,timestamp_temperature,value_type_temperature,value_temperature,timestamp_new,timestamp_humidity,value_type_humidity,value_humidity,timestamp_P1,value_type_P1,value_P1,timestamp_P2,value_type_P2,value_P2
0,2023-02-04 04:22:51.323124+00:00,temperature,12,2023-02-04 04:22:51+00:00,2023-02-04 04:22:51.323124+00:00,humidity,100,2023-02-04 04:22:51.323125+00:00,P1,59.0,2023-02-04 04:22:51.323125+00:00,P2,27.0
1,2023-02-04 04:25:32.354784+00:00,temperature,11,2023-02-04 04:25:32+00:00,2023-02-04 04:25:32.354784+00:00,humidity,100,2023-02-04 04:25:32.355326+00:00,P1,51.0,2023-02-04 04:25:32.355326+00:00,P2,27.0
2,2023-02-04 04:28:12.716734+00:00,temperature,12,2023-02-04 04:28:12+00:00,2023-02-04 04:28:12.716734+00:00,humidity,100,2023-02-04 04:28:12.715838+00:00,P1,56.0,2023-02-04 04:28:12.715838+00:00,P2,23.0
3,2023-02-04 04:30:52.437513+00:00,temperature,12,2023-02-04 04:30:52+00:00,2023-02-04 04:30:52.437513+00:00,humidity,100,2023-02-04 04:30:52.437520+00:00,P1,56.0,2023-02-04 04:30:52.437520+00:00,P2,25.0
4,2023-02-04 04:33:32.677578+00:00,temperature,12,2023-02-04 04:33:32+00:00,2023-02-04 04:33:32.677578+00:00,humidity,100,2023-02-04 04:33:32.678818+00:00,P1,117.0,2023-02-04 04:33:32.678818+00:00,P2,31.0
5,2023-02-04 04:36:12.927385+00:00,temperature,12,2023-02-04 04:36:12+00:00,2023-02-04 04:36:12.927385+00:00,humidity,100,2023-02-04 04:36:12.927357+00:00,P1,37.0,2023-02-04 04:36:12.927357+00:00,P2,25.0
6,2023-02-04 04:38:53.312812+00:00,temperature,12,2023-02-04 04:38:53+00:00,2023-02-04 04:38:53.312812+00:00,humidity,100,2023-02-04 04:38:53.316332+00:00,P1,39.0,2023-02-04 04:38:53.316332+00:00,P2,24.0
7,2023-02-04 04:41:32.982615+00:00,temperature,13,2023-02-04 04:41:32+00:00,2023-02-04 04:41:32.982615+00:00,humidity,100,,,,,,
8,2023-02-04 04:44:13.328866+00:00,temperature,13,2023-02-04 04:44:13+00:00,2023-02-04 04:44:13.328866+00:00,humidity,100,2023-02-04 04:44:13.327431+00:00,P1,80.0,2023-02-04 04:44:13.327431+00:00,P2,24.0
9,2023-02-04 04:46:53.618960+00:00,temperature,13,2023-02-04 04:46:53+00:00,2023-02-04 04:46:53.618960+00:00,humidity,100,2023-02-04 04:46:53.618956+00:00,P1,46.0,2023-02-04 04:46:53.618956+00:00,P2,25.0
10,2023-02-04 04:49:33.236407+00:00,temperature,13,2023-02-04 04:49:33+00:00,2023-02-04 04:49:33.236407+00:00,humidity,100,2023-02-04 04:49:33.240110+00:00,P1,45.0,2023-02-04 04:49:33.240110+00:00,P2,19.0
11,2023-02-04 04:52:13.549049+00:00,temperature,13,2023-02-04 04:52:13+00:00,2023-02-04 04:52:13.549049+00:00,humidity,100,2023-02-04 04:52:13.549063+00:00,P1,44.0,2023-02-04 04:52:13.549063+00:00,P2,15.0
12,2023-02-04 04:54:53.813273+00:00,temperature,14,2023-02-04 04:54:53+00:00,2023-02-04 04:54:53.813273+00:00,humidity,100,2023-02-04 04:54:53.813248+00:00,P1,38.0,2023-02-04 04:54:53.813248+00:00,P2,17.0
13,2023-02-04 04:57:34.390156+00:00,temperature,14,2023-02-04 04:57:34+00:00,2023-02-04 04:57:34.390156+00:00,humidity,100,2023-02-04 04:57:34.392875+00:00,P1,29.0,2023-02-04 04:57:34.392875+00:00,P2,15.0
14,2023-02-04 05:00:13.815257+00:00,temperature,14,2023-02-04 05:00:13+00:00,2023-02-04 05:00:13.815257+00:00,humidity,100,2023-02-04 05:00:13.815369+00:00,P1,30.0,2023-02-04 05:00:13.815369+00:00,P2,15.0
15,2023-02-04 05:02:53.672793+00:00,temperature,14,2023-02-04 05:02:53+00:00,2023-02-04 05:02:53.672793+00:00,humidity,100,2023-02-04 05:02:53.670508+00:00,P1,19.0,2023-02-04 05:02:53.670508+00:00,P2,15.0
16,2023-02-04 05:05:34.775584+00:00,temperature,15,2023-02-04 05:05:34+00:00,2023-02-04 05:05:34.775584+00:00,humidity,100,2023-02-04 05:05:34.749576+00:00,P1,35.0,2023-02-04 05:05:34.749576+00:00,P2,22.0
17,2023-02-04 05:08:14.753701+00:00,temperature,15,2023-02-04 05:08:14+00:00,2023-02-04 05:08:14.753701+00:00,humidity,100,2023-02-04 05:08:14.749544+00:00,P1,32.0,2023-02-04 05:08:14.749544+00:00,P2,19.0
18,2023-02-04 05:10:54.792254+00:00,temperature,15,2023-02-04 05:10:54+00:00,2023-02-04 05:10:54.792254+00:00,humidity,99,2023-02-04 05:10:54.791203+00:00,P1,79.0,2023-02-04 05:10:54.791203+00:00,P2,24.0
